ESCUELA,EDAD,SEXO,EST_CIVIL,HIJOS,TRABAJA_ESTUDIA,VIVE_SOLO,NIVEL_SOCIO_ECON,SEMESTRE,PPACumulado,PPAnterior
ADMINISTRACIÓN,26,0,0,0,1,0,1,4,14.969,9.5
ADMINISTRACIÓN,17,0,0,0,0,0,1,1,14.421,14.2
ADMINISTRACIÓN,29,0,0,0,1,1,2,9,14.234,15.182
ADMINISTRACIÓN,18,1,0,0,0,0,2,5,8.846,9.6
ADMINISTRACIÓN,20,1,0,0,1,1,1,6,15.355,15.5
ADMINISTRACIÓN,18,0,0,0,0,0,0,2,11.571,5.231
ADMINISTRACIÓN,23,0,1,1,1,0,2,10,15.662,17.1
ADMINISTRACIÓN,23,1,0,1,1,0,2,9,13.675,13.286
ADMINISTRACIÓN,20,1,0,0,0,0,1,7,14.464,15.118
ADMINISTRACIÓN,24,1,0,0,1,1,1,9,14.525,13.4
ADMINISTRACIÓN,25,0,0,0,1,0,1,10,15.442,15.333
ADMINISTRACIÓN,22,0,0,0,0,0,0,7,15.818,15.5
ADMINISTRACIÓN,22,1,0,0,0,0,0,9,14.114,15.619
ADMINISTRACIÓN,24,0,0,0,1,0,0,9,15.815,16.318
ADMINISTRACIÓN,20,1,0,0,0,1,1,6,12.902,12
ADMINISTRACIÓN,21,1,0,0,0,0,1,9,16.155,16.273
ADMINISTRACIÓN,29,1,0,0,1,1,1,2,14.822,15.476
ADMINISTRACIÓN,27,1,0,0,1,1,1,10,12.775,14.2
ADMINISTRACIÓN,21,0,0,0,1,0,2,9,13.587,14.727
ADMINISTRACIÓN,21,1,0,0,1,0,0,7,14.599,12.182
ADMINISTRACIÓN,22,0,0,0,1,0,1,9,16.46,15.909
ADMINISTRACIÓN,20,1,0,0,0,0,2,6,16.788,16.762
ADMINISTRACIÓN,21,0,0,0,1,0,0,8,13.827,9.818
ADMINISTRACIÓN,20,0,0,0,0,0,0,3,13.904,9.895
ADMINISTRACIÓN,23,0,0,0,0,1,2,10,14.68,14.05
ADMINISTRACIÓN,25,1,0,1,0,1,1,10,14.507,14.579
ADMINISTRACIÓN,24,1,0,0,1,1,1,5,12.7,11.765
ADMINISTRACIÓN,21,1,0,0,0,0,0,8,16.007,16.421
ADMINISTRACIÓN,24,1,0,0,1,0,0,10,15.444,15.778
ADMINISTRACIÓN,26,1,0,0,1,1,0,8,14.297,15
ADMINISTRACIÓN,25,1,0,0,1,1,0,8,15.015,12.467
ADMINISTRACIÓN,22,1,0,0,1,0,2,5,15.036,17.318
ADMINISTRACIÓN,22,1,0,0,1,0,0,8,14.608,14.556
ADMINISTRACIÓN,23,0,0,0,1,1,1,8,15.426,16.368
ADMINISTRACIÓN,24,0,0,0,1,0,1,10,13.642,13.864
ADMINISTRACIÓN,23,0,0,0,1,1,1,3,15.728,15.429
ADMINISTRACIÓN,21,1,0,0,0,1,2,6,14.599,14.5
ADMINISTRACIÓN,20,1,0,0,1,0,0,6,16.1,15.7
ADMINISTRACIÓN,20,0,0,0,1,0,0,6,15.965,16.773
ADMINISTRACIÓN,20,1,0,0,0,0,0,4,17.74,17.636
ADMINISTRACIÓN,26,0,0,0,1,1,1,10,15.932,16
ADMINISTRACIÓN,23,1,0,0,0,0,1,10,15.654,15.75
ADMINISTRACIÓN,21,1,0,0,0,0,1,10,13.619,10.833
ADMINISTRACIÓN,29,1,0,1,1,0,0,9,14.796,15.6
ADMINISTRACIÓN,20,1,0,0,1,0,1,8,12.68,14.556
ADMINISTRACIÓN,23,0,0,0,0,1,0,9,15.366,15.579
ADMINISTRACIÓN,22,1,0,0,0,0,0,7,13.764,16.1
ADMINISTRACIÓN,18,0,0,0,1,0,1,2,13.199,14.056
ADMINISTRACIÓN,21,0,0,0,0,1,0,7,15.945,15.2
ADMINISTRACIÓN,19,1,0,1,1,1,1,2,15.7,17.6
ADMINISTRACIÓN,21,0,0,0,1,1,1,2,14.855,15.143
ADMINISTRACIÓN,23,0,0,0,1,1,0,10,14.649,15
ADMINISTRACIÓN,21,0,0,0,1,0,2,10,14.422,14.5
ADMINISTRACIÓN,21,1,0,0,1,0,1,8,14.75,6.7
ADMINISTRACIÓN,24,1,0,1,1,1,2,6,14.22,14.421
ADMINISTRACIÓN,24,0,0,0,1,0,2,10,16.343,17.818
ADMINISTRACIÓN,25,1,0,0,1,1,2,9,15.242,15.273
